Grwyne Fawr Reservoir - Wikipedia,Latin - Wikipedia,23,,
,,,,
Cité du Cinéma - Wikipedia,Filmmaking - Wikipedia,8,,
,,,,
Thomas Moran House - Wikipedia,Latin - Wikipedia,22,,
,,,,
"Andrew ""Blueblood"" McMahon - Wikipedia",Science - Wikipedia,22,,
,,,,
Henry Everard - Wikipedia,Science - Wikipedia,17,,
,,,,
Kolonia Piszczac III - Wikipedia,Language - Wikipedia,14,,
,,,,
Joe Fisher (journalist) - Wikipedia,Science - Wikipedia,21,,
,,,,
Lukuledi River - Wikipedia,Bantu languages - Wikipedia,6,,
,,,,
Colin Holt (activist) - Wikipedia,Linguistics - Wikipedia,24,,
,,,,
Metallisydän - Wikipedia,Latin - Wikipedia,23,,
,,,,
"Go, Dog. Go! - Wikipedia",Latin - Wikipedia,20,,
,,,,
Tim McNulty - Wikipedia,Irish language - Wikipedia,5,FALSE,started logging whether philosophy was visited 
,,,,
Leigh Dragoon - Wikipedia,Latin - Wikipedia,19,FALSE,
,,,,
Atlantis: The Lost Tales - Wikipedia,Linguistics - Wikipedia,29,FALSE,
,,,,
Wilmar H. Shiras - Wikipedia,Science - Wikipedia,20,FALSE,
,,,,
Des gaffes et des dégâts - Wikipedia,Latin - Wikipedia,24,FALSE,
,,,,
Edge of Insanity - Wikipedia,Science - Wikipedia,23,FALSE,
,,,,
Isorophida - Wikipedia,Science - Wikipedia,14,FALSE,
,,,,
Jeffery Boulevard - Wikipedia,Linguistics - Wikipedia,18,FALSE,
,,,,
1983 Virginia Slims of Boston – Singles - Wikipedia,Linguistics - Wikipedia,30,FALSE,
,,,,
Terbium silicide - Wikipedia,Latin - Wikipedia,17,FALSE,
,,,,
My Queen Karo - Wikipedia,Science - Wikipedia,18,FALSE,
,,,,
Jollain (engravers) - Wikipedia,Latin - Wikipedia,17,FALSE,
,,,,
C More Action - Wikipedia,Latin - Wikipedia,16,FALSE,
,,,,
Ross Point School - Wikipedia,Latin - Wikipedia,21,TRUE,
,,,,
Hayashi Gakusai - Wikipedia,Latin - Wikipedia,26,FALSE,
,,,,
João Marquilhas - Wikipedia,Latin - Wikipedia,19,TRUE,
,,,,
Witramowo - Wikipedia,Language - Wikipedia,13,FALSE,
,,,,
Hohm - Wikipedia,Latin - Wikipedia,22,FALSE,
,,,,
Longmornis - Wikipedia,Science - Wikipedia,12,FALSE,
,,,,
Clarence N. Stevenson Unit - Wikipedia,Linguistics - Wikipedia,15,FALSE,
,,,,
Music of Sweden - Wikipedia,Latin - Wikipedia,11,FALSE,
,,,,
Macarena Escudero - Wikipedia,Science - Wikipedia,19,FALSE,
,,,,
Volchya Alexandrovka - Wikipedia,Language - Wikipedia,13,FALSE,
,,,,
Dora Emilia Mora de Retana - Wikipedia,Science - Wikipedia,19,FALSE,
,,,,
Newtownards Airport - Wikipedia,Linguistics - Wikipedia,15,FALSE,
,,,,
John Hallett - Wikipedia,Latin - Wikipedia,19,FALSE,
,,,,
Best of the Worst (game show) - Wikipedia,Latin - Wikipedia,18,FALSE,
,,,,
"Fairview Township, Holt County, Nebraska - Wikipedia",Linguistics - Wikipedia,30,FALSE,
,,,,
Pointe de Grave - Wikipedia,Science - Wikipedia,19,FALSE,
,,,,
"Piano Sonata in D major, D 850 (Schubert) - Wikipedia",Science - Wikipedia,24,FALSE,
,,,,
Masha Lubelsky - Wikipedia,Language - Wikipedia,13,FALSE,
,,,,
Roscoe Diner - Wikipedia,Science - Wikipedia,19,FALSE,
,,,,
Matty Matthews - Wikipedia,Science - Wikipedia,19,FALSE,
,,,,
Claudio Villagra - Wikipedia,Latin - Wikipedia,23,FALSE,
,,,,
Bill Braden - Wikipedia,Science - Wikipedia,19,FALSE,
,,,,
Óscar Bruzón - Wikipedia,Latin - Wikipedia,18,TRUE,
,,,,
Giant slalom - Wikipedia,Latin - Wikipedia,22,FALSE,
,,,,
Louis Walsh (politician) - Wikipedia,Linguistics - Wikipedia,23,FALSE,
